name,link
Elephant,/title/tt0363589/
A Prophet,/title/tt1235166/
There Will Be Blood,/title/tt0469494/
The Lives of Others,/title/tt0405094/
Frances Ha,/title/tt2347569/
Eternal Sunshine of the Spotless Mind,/title/tt0338013/
Werckmeister Harmonies,/title/tt0249241/
The Act of Killing,/title/tt2375605/
White Material,/title/tt1135952/
Spring Breakers,/title/tt2101441/
In the Mood for Love,/title/tt0118694/
Stranger by the Lake,/title/tt2852458/
Colossal Youth,/title/tt3295734/
Story of My Death,/title/tt3102458/
Aurora,/title/tt0018455/
Dogville,/title/tt0276919/
Zodiac,/title/tt0443706/
There Will Be Blood,/title/tt0469494/
Inside Llewyn Davis,/title/tt2042568/
Yi Yi: A One and a Two,/title/tt0244316/
The Turin Horse,/title/tt1316540/
The Master,/title/tt1560747/
It's Such a Beautiful Day,/title/tt2396224/
Boyhood,/title/tt1065073/
Shutter Island,/title/tt1130884/
Saraband,/title/tt0299478/
Memento,/title/tt0209144/
Blue Is the Warmest Color,/title/tt2278871/
The Return,/title/tt0441909/
Amour,/title/tt1602620/
Mulholland Drive,/title/tt0166924/
Import Export,/title/tt0459102/
Son of Saul,/title/tt3808342/
Kill Bill: Vol. 1,/title/tt0266697/
The Revenant,/title/tt1663202/
Tropical Malady,/title/tt0381668/
Mulholland Drive,/title/tt0166924/
The Turin Horse,/title/tt1316540/
Tie Xi Qu: West of the Tracks,/title/tt0389448/
Le filmeur,/title/tt0463991/
Holy Motors,/title/tt2076220/
Elephant,/title/tt0363589/
A Touch of Sin,/title/tt2852400/
Pan's Labyrinth,/title/tt0457430/
Spirited Away,/title/tt0245429/
The New World,/title/tt0402399/
Capitalism: Child Labor,/title/tt3703130/
Psalm III: 'Night of the Meek',/title/tt0351599/
Goodbye to Language,/title/tt2400275/
Daylight Moon,/title/tt0360504/
Oldboy,/title/tt0364569/
The Fourth Watch,/title/tt0282499/
Our Daily Bread,/title/tt0020768/
The World,/title/tt0423176/
Ankhon Dekhi,/title/tt3614516/
Court,/title/tt3717068/
"LSD: Love, Sex Aur Dhokha",/title/tt1608777/
Monsoon Wedding,/title/tt0265343/
Dev D,/title/tt1327035/
Paan Singh Tomar,/title/tt1620933/
Udaan,/title/tt10189514/
Hazaaron Khwaishein Aisi,/title/tt0411469/
Maqbool,/title/tt0379370/
Lagaan: Once Upon a Time in India,/title/tt0169102/
There Will Be Blood,/title/tt0469494/
Mulholland Drive,/title/tt0166924/
AI: Artificial Intelligence,/title/tt0212720/
Blue Is the Warmest Color,/title/tt2278871/
Spirited Away,/title/tt0245429/
Once Upon a Time in Anatolia,/title/tt1827487/
In the Mood for Love,/title/tt0118694/
The Lady and the Duke,/title/tt0239234/
Yi Yi: A One and a Two,/title/tt0244316/
Silent Souls,/title/tt1693830/
"Synecdoche, New York",/title/tt0383028/
Eternal Sunshine of the Spotless Mind,/title/tt0338013/
Boyhood,/title/tt1065073/
Mad Max: Fury Road,/title/tt1392190/
Me and You and Everyone We Know,/title/tt0415978/
Gone Girl,/title/tt2267998/
Inside Llewyn Davis,/title/tt2042568/
Only Lovers Left Alive,/title/tt1714915/
Selma,/title/tt1020072/
Pain & Gain,/title/tt1711018/
Inside Out,/title/tt2096673/
When the Levees Broke: A Requiem in Four Acts,/title/tt0783612/
Stories We Tell,/title/tt2366450/
Her,/title/tt1798709/
Children of Men,/title/tt0206634/
Before Midnight,/title/tt2209418/
The Look of Silence,/title/tt3521134/
Fruitvale Station,/title/tt2334649/
Love & Basketball,/title/tt3774694/
Brick,/title/tt1623205/
Stray Dogs,/title/tt0120399/
A Separation,/title/tt1832382/
Margaret,/title/tt3777860/
Ten,/title/tt0078721/
35 Shots of Rum,/title/tt1100048/
Closed Curtain,/title/tt2626926/
Tangerine,/title/tt3824458/
The Royal Tenenbaums,/title/tt0265666/
Spring Breakers,/title/tt2101441/
Uncle Boonmee Who Can Recall His Past Lives,/title/tt1588895/
Notre musique,/title/tt0360845/
Triple Agent,/title/tt0374294/
The Assassin,/title/tt0107843/
Gran Torino,/title/tt1205489/
Horse Money,/title/tt3907156/
Fantastic Mr Fox,/title/tt1531905/
Holy Motors,/title/tt2076220/
Death Proof – Grindhouse,/title/tt1028528/
Déjà Vu,/title/tt0453467/
Seventh Code,/title/tt3265404/
Waiting for Happiness,/title/tt0308363/
The White Ribbon,/title/tt1149362/
Dreams of a Life,/title/tt1819513/
Tey,/title/tt2178935/
The Gleaners and I,/title/tt0247380/
Lumumba,/title/tt0246765/
Hunger,/title/tt0085701/
Fruitvale Station,/title/tt2334649/
"Eat, Sleep, Die",/title/tt2085002/
Middle of Nowhere,/title/tt1032817/
A Serious Man,/title/tt1019452/
Inside Llewyn Davis,/title/tt2042568/
Star Trek,/title/tt0060028/
Waking Life,/title/tt0243017/
Ida,/title/tt1869716/
Enter the Void,/title/tt1191111/
There Will Be Blood,/title/tt0469494/
Of Gods and Men,/title/tt1588337/
Into Great Silence,/title/tt0478160/
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,/title/tt0443453/
The Social Network,/title/tt1285016/
Boyhood,/title/tt1065073/
The Descendants,/title/tt1033575/
Beasts of the Southern Wild,/title/tt2125435/
No Country For Old Men,/title/tt0477348/
Idiocracy,/title/tt0387808/
Bridesmaids,/title/tt1478338/
Spring Breakers,/title/tt2101441/
American Psycho,/title/tt0144084/
The Dark Knight,/title/tt0468569/
Children of Men,/title/tt0206634/
There Will Be Blood,/title/tt0469494/
The Hurt Locker,/title/tt0887912/
"4 Months, 3 Weeks & 2 Days",/title/tt1032846/
Eternal Sunshine of the Spotless Mind,/title/tt0338013/
Boyhood,/title/tt1065073/
Lost in Translation,/title/tt0335266/
Michael Clayton,/title/tt0465538/
You Can Count on Me Me,/title/tt0203230/
Finding Nemo,/title/tt0266543/
Wolff Von Amerongen: Did He Commit Bankruptcy Offences?,/title/tt0499138/
The Master,/title/tt1560747/
Longing,/title/tt5545984/
I’m Not There,/title/tt0368794/
The External World,/title/tt1720261/
Secret Sunshine,/title/tt0817225/
Toni Erdmann,/title/tt4048272/
Platform,/title/tt8228288/
The Holy Girl,/title/tt0300270/
Mosaik mécanique,/title/tt1358862/
Boyhood,/title/tt1065073/
Holy Motors,/title/tt2076220/
The Tree of Life,/title/tt0478304/
In the Mood for Love,/title/tt0118694/
Inside Llewyn Davis,/title/tt2042568/
Certified Copy,/title/tt1020773/
Memento,/title/tt0209144/
Y Tu Mamá También,/title/tt0245574/
Mulholland Drive,/title/tt0166924/
A History of Violence,/title/tt0399146/
Good Night and Good Luck,/title/tt0433383/
Hugo,/title/tt0970179/
Ida,/title/tt1869716/
A Separation,/title/tt1832382/
Amour,/title/tt1602620/
The Act of Killing,/title/tt2375605/
Quills,/title/tt0180073/
The Sapphires,/title/tt1673697/
Where Do We Go Now?,/title/tt1772424/
Ajami,/title/tt1077262/
The Dark Knight,/title/tt0468569/
Inception,/title/tt1375666/
Hero,/title/tt0299977/
